Sample,Timestamp,CPU_Usage(%),RAM_Usage(%),RAM_Used(MB)
154,2026-06-08 01:30:55,32.6,47.5,1859.61
155,2026-06-08 01:30:56,28.0,47.5,1859.61
156,2026-06-08 01:30:57,49.7,47.5,1859.58
157,2026-06-08 01:30:58,67.5,47.5,1859.54
158,2026-06-08 01:30:59,75.6,47.5,1859.48
159,2026-06-08 01:31:00,58.7,47.5,1859.43
160,2026-06-08 01:31:01,62.3,47.5,1859.41
161,2026-06-08 01:31:02,55.1,47.5,1859.36
162,2026-06-08 01:31:03,21.6,47.5,1859.56
163,2026-06-08 01:31:04,64.6,47.6,1860.27
164,2026-06-08 01:31:05,70.0,47.6,1860.21
165,2026-06-08 01:31:06,63.3,47.6,1860.18
166,2026-06-08 01:31:07,70.7,47.6,1860.36
167,2026-06-08 01:31:08,55.8,47.6,1860.32
168,2026-06-08 01:31:09,50.9,47.6,1860.5
169,2026-06-08 01:31:10,31.1,47.6,1860.49
170,2026-06-08 01:31:11,47.9,47.6,1860.46
171,2026-06-08 01:31:12,69.9,47.7,1864.85
172,2026-06-08 01:31:13,62.2,47.7,1865.02
173,2026-06-08 01:31:14,61.4,47.7,1864.98
174,2026-06-08 01:31:15,66.5,47.7,1864.96
175,2026-06-08 01:31:16,43.7,47.7,1864.9
176,2026-06-08 01:31:17,43.0,47.7,1865.11
177,2026-06-08 01:31:18,44.4,47.7,1865.1
178,2026-06-08 01:31:19,68.9,47.7,1865.07
179,2026-06-08 01:31:20,65.1,47.7,1865.21
180,2026-06-08 01:31:21,66.7,47.7,1865.16
181,2026-06-08 01:31:22,62.3,47.7,1865.12
182,2026-06-08 01:31:23,60.1,47.7,1865.09
183,2026-06-08 01:31:24,32.9,47.7,1867.54
184,2026-06-08 01:31:25,58.2,47.7,1867.76
185,2026-06-08 01:31:26,64.8,47.7,1867.73
186,2026-06-08 01:31:27,77.8,47.7,1867.88
187,2026-06-08 01:31:28,68.4,47.7,1867.85
188,2026-06-08 01:31:29,64.0,47.7,1867.79
189,2026-06-08 01:31:30,74.9,47.7,1867.76
190,2026-06-08 01:31:31,35.8,47.7,1867.75
191,2026-06-08 01:31:32,50.9,47.8,1867.95
192,2026-06-08 01:31:33,65.5,47.7,1867.92
193,2026-06-08 01:31:34,75.6,47.7,1867.84
194,2026-06-08 01:31:35,68.8,47.7,1867.81
195,2026-06-08 01:31:36,67.1,47.7,1867.75
196,2026-06-08 01:31:37,66.9,47.7,1867.73
197,2026-06-08 01:31:38,54.3,47.7,1867.89
198,2026-06-08 01:31:39,56.1,47.7,1867.87
199,2026-06-08 01:31:40,62.1,47.7,1867.82
200,2026-06-08 01:31:41,86.5,47.7,1867.76
201,2026-06-08 01:31:42,38.5,47.7,1867.73
202,2026-06-08 01:31:43,84.1,47.7,1867.66
203,2026-06-08 01:31:44,54.8,47.7,1867.64
204,2026-06-08 01:31:45,30.9,47.7,1867.58
205,2026-06-08 01:31:46,60.2,47.7,1867.54
206,2026-06-08 01:31:47,63.4,47.7,1867.53
207,2026-06-08 01:31:48,75.7,47.7,1867.49
208,2026-06-08 01:31:49,65.3,47.7,1867.67
209,2026-06-08 01:31:50,78.3,47.7,1867.62
210,2026-06-08 01:31:51,89.7,47.7,1867.57
211,2026-06-08 01:31:52,52.2,47.7,1867.54
212,2026-06-08 01:31:53,59.7,47.7,1867.53
213,2026-06-08 01:31:54,63.7,47.7,1867.5
214,2026-06-08 01:31:55,82.4,47.7,1867.47
215,2026-06-08 01:31:56,59.4,47.7,1867.43
216,2026-06-08 01:31:57,70.1,47.7,1867.37
217,2026-06-08 01:31:58,76.2,47.7,1867.54
218,2026-06-08 01:31:59,68.0,47.7,1867.49
219,2026-06-08 01:32:00,58.7,47.7,1867.48
220,2026-06-08 01:32:01,66.4,47.7,1867.43
221,2026-06-08 01:32:02,82.1,47.7,1867.39
222,2026-06-08 01:32:03,79.0,47.7,1867.35
223,2026-06-08 01:32:04,63.1,47.7,1867.32
224,2026-06-08 01:32:05,73.9,47.7,1867.29
225,2026-06-08 01:32:06,75.9,47.7,1867.23
226,2026-06-08 01:32:07,55.1,47.7,1867.21
227,2026-06-08 01:32:08,68.8,47.7,1867.43
228,2026-06-08 01:32:09,75.4,47.7,1867.38
229,2026-06-08 01:32:10,80.0,47.7,1867.35
230,2026-06-08 01:32:11,73.9,47.7,1867.3
231,2026-06-08 01:32:12,74.7,47.7,1867.28
232,2026-06-08 01:32:13,78.1,47.7,1867.23
233,2026-06-08 01:32:14,45.4,47.7,1867.42
234,2026-06-08 01:32:15,98.2,47.7,1867.3
235,2026-06-08 01:32:16,93.6,47.7,1867.48
236,2026-06-08 01:32:17,66.2,47.7,1867.45
237,2026-06-08 01:32:18,56.2,47.6,1863.34
238,2026-06-08 01:32:19,78.9,47.6,1863.32
239,2026-06-08 01:32:20,56.3,47.6,1863.3
240,2026-06-08 01:32:21,18.1,47.6,1863.27
241,2026-06-08 01:32:22,59.9,47.6,1863.26
242,2026-06-08 01:32:23,95.7,47.6,1863.17
243,2026-06-08 01:32:24,93.1,47.6,1863.34
244,2026-06-08 01:32:25,83.8,47.6,1863.26
245,2026-06-08 01:32:26,64.6,47.6,1863.2
246,2026-06-08 01:32:27,12.5,47.6,1863.18
247,2026-06-08 01:32:28,61.9,47.6,1863.18
248,2026-06-08 01:32:29,9.7,47.6,1863.17
249,2026-06-08 01:32:30,80.8,47.6,1863.16
250,2026-06-08 01:32:32,95.0,47.6,1863.09
251,2026-06-08 01:32:33,90.5,47.6,1863.27
252,2026-06-08 01:32:34,73.2,47.6,1863.16
253,2026-06-08 01:32:35,63.4,47.6,1863.14
254,2026-06-08 01:32:36,58.8,47.6,1863.34
255,2026-06-08 01:32:37,12.6,47.6,1863.54
256,2026-06-08 01:32:38,37.7,47.6,1863.55
257,2026-06-08 01:32:39,88.8,47.6,1863.53
258,2026-06-08 01:32:40,90.1,47.6,1863.7
259,2026-06-08 01:32:41,64.9,47.6,1863.61
260,2026-06-08 01:32:42,42.2,47.6,1863.58
261,2026-06-08 01:32:43,42.9,47.6,1863.55
262,2026-06-08 01:32:44,15.4,47.6,1863.54
263,2026-06-08 01:32:45,42.1,47.6,1863.51
264,2026-06-08 01:32:46,50.6,47.6,1863.47
265,2026-06-08 01:32:47,51.5,47.6,1863.67
266,2026-06-08 01:32:48,80.5,47.6,1863.58
267,2026-06-08 01:32:49,49.2,47.6,1863.5
268,2026-06-08 01:32:50,46.3,47.6,1863.7
269,2026-06-08 01:32:51,38.4,47.6,1863.68
270,2026-06-08 01:32:52,20.2,47.6,1863.66
271,2026-06-08 01:32:53,53.9,47.7,1865.11
272,2026-06-08 01:32:54,67.5,47.7,1865.07
273,2026-06-08 01:32:55,76.6,47.7,1865.48
274,2026-06-08 01:32:56,61.1,47.7,1865.42
275,2026-06-08 01:32:57,52.0,47.7,1865.39
276,2026-06-08 01:32:58,16.7,47.7,1865.37
277,2026-06-08 01:32:59,15.3,47.7,1865.37
278,2026-06-08 01:33:00,74.7,47.8,1869.27
279,2026-06-08 01:33:01,50.9,47.8,1869.24
280,2026-06-08 01:33:02,67.5,47.8,1869.18
281,2026-06-08 01:33:03,61.6,47.8,1869.17
282,2026-06-08 01:33:04,58.7,47.9,1873.51
283,2026-06-08 01:33:05,22.5,47.9,1873.7
284,2026-06-08 01:33:06,46.0,48.0,1876.88
285,2026-06-08 01:33:07,43.5,48.0,1876.84
286,2026-06-08 01:33:08,60.6,48.1,1880.51
287,2026-06-08 01:33:09,62.6,48.1,1881.44
288,2026-06-08 01:33:10,85.1,48.1,1881.85
289,2026-06-08 01:33:11,39.4,48.1,1881.81
290,2026-06-08 01:33:12,33.3,48.1,1881.78
291,2026-06-08 01:33:13,33.1,48.1,1881.75
292,2026-06-08 01:33:14,53.3,48.1,1881.71
293,2026-06-08 01:33:15,56.2,48.2,1883.6
294,2026-06-08 01:33:16,64.1,48.2,1883.8
295,2026-06-08 01:33:17,70.1,48.3,1887.93
296,2026-06-08 01:33:18,67.1,48.3,1888.36
297,2026-06-08 01:33:19,35.1,48.3,1888.32
298,2026-06-08 01:33:20,32.5,48.2,1883.68
299,2026-06-08 01:33:21,60.0,48.2,1883.61
300,2026-06-08 01:33:22,47.1,48.2,1886.02
301,2026-06-08 01:33:23,76.6,48.2,1884.73
302,2026-06-08 01:33:24,62.2,48.2,1885.15
303,2026-06-08 01:33:25,66.5,48.3,1888.25
304,2026-06-08 01:33:26,42.3,48.2,1883.77
305,2026-06-08 01:33:27,15.8,48.2,1883.77
306,2026-06-08 01:33:28,74.8,48.3,1888.42
307,2026-06-08 01:33:29,58.6,48.3,1888.38
308,2026-06-08 01:33:30,93.6,48.3,1889.17
309,2026-06-08 01:33:31,96.2,48.3,1890.72
310,2026-06-08 01:33:32,99.0,48.3,1891.1
311,2026-06-08 01:33:33,96.9,48.4,1891.43
312,2026-06-08 01:33:34,93.2,48.3,1891.31
313,2026-06-08 01:33:35,96.3,48.3,1891.15
314,2026-06-08 01:33:36,94.2,48.3,1890.85
315,2026-06-08 01:33:37,42.9,48.3,1890.59
316,2026-06-08 01:33:38,2.2,48.3,1890.59
317,2026-06-08 01:33:39,16.8,48.2,1885.86
318,2026-06-08 01:33:40,17.1,48.2,1885.68
319,2026-06-08 01:33:41,31.2,48.2,1885.1
320,2026-06-08 01:33:42,26.9,48.1,1881.59
321,2026-06-08 01:33:43,29.3,48.1,1881.52
322,2026-06-08 01:33:44,25.5,48.1,1879.76
323,2026-06-08 01:33:45,3.3,48.1,1879.76
324,2026-06-08 01:33:46,21.6,47.9,1875.66
325,2026-06-08 01:33:47,3.9,47.9,1874.35
326,2026-06-08 01:33:48,4.4,47.9,1873.61
327,2026-06-08 01:33:49,25.9,47.9,1872.43
328,2026-06-08 01:33:50,1.1,47.8,1871.62
329,2026-06-08 01:33:51,26.1,47.8,1870.71
330,2026-06-08 01:33:52,1.1,47.8,1869.9
331,2026-06-08 01:33:53,6.1,47.9,1872.86
332,2026-06-08 01:33:54,20.8,47.9,1872.11
333,2026-06-08 01:33:55,5.6,47.7,1864.48
334,2026-06-08 01:33:56,2.7,47.7,1864.48
335,2026-06-08 01:33:57,22.4,47.7,1864.72
336,2026-06-08 01:33:58,2.7,47.6,1863.98
337,2026-06-08 01:33:59,19.2,47.7,1867.18
338,2026-06-08 01:34:00,12.4,47.6,1861.03
339,2026-06-08 01:34:01,2.2,47.6,1861.02
340,2026-06-08 01:34:02,9.2,47.6,1861.27
341,2026-06-08 01:34:03,10.9,47.6,1861.01
342,2026-06-08 01:34:04,2.8,47.6,1860.88
343,2026-06-08 01:34:05,21.2,47.5,1859.02
344,2026-06-08 01:34:06,2.2,47.5,1859.02
345,2026-06-08 01:34:07,22.4,47.5,1857.8
346,2026-06-08 01:34:08,1.1,47.5,1857.74
347,2026-06-08 01:34:09,6.0,47.5,1857.59
348,2026-06-08 01:34:10,2.8,47.5,1857.44
349,2026-06-08 01:34:11,6.1,47.3,1849.22
350,2026-06-08 01:34:12,0.5,47.3,1849.17
351,2026-06-08 01:34:13,3.9,47.3,1849.02
352,2026-06-08 01:34:14,1.6,47.3,1848.73
353,2026-06-08 01:34:15,1.1,47.3,1848.58
354,2026-06-08 01:34:16,1.1,47.2,1848.04
355,2026-06-08 01:34:17,1.1,47.2,1848.04
356,2026-06-08 01:34:18,0.5,47.2,1847.77
357,2026-06-08 01:34:19,1.1,47.2,1847.77
358,2026-06-08 01:34:20,1.1,47.2,1847.79
359,2026-06-08 01:34:21,0.5,47.2,1847.66
