Sample,Timestamp,CPU_Usage(%),RAM_Usage(%),RAM_Used(MB)
204,2026-06-07 19:24:44,64.2,58.5,1735.37
205,2026-06-07 19:24:45,71.8,58.5,1735.49
206,2026-06-07 19:24:46,43.5,58.5,1735.42
207,2026-06-07 19:24:47,27.3,58.5,1735.62
208,2026-06-07 19:24:48,18.5,58.5,1735.59
209,2026-06-07 19:24:49,50.3,58.5,1735.55
210,2026-06-07 19:24:50,19.9,58.5,1735.54
211,2026-06-07 19:24:51,69.3,58.5,1735.5
212,2026-06-07 19:24:52,74.9,58.5,1735.39
213,2026-06-07 19:24:53,52.5,58.5,1735.52
214,2026-06-07 19:24:54,37.3,58.5,1735.48
215,2026-06-07 19:24:55,23.6,58.6,1738.63
216,2026-06-07 19:24:56,39.4,58.6,1738.59
217,2026-06-07 19:24:57,31.8,58.6,1738.53
218,2026-06-07 19:24:58,51.5,58.6,1738.47
219,2026-06-07 19:24:59,69.2,58.6,1738.61
220,2026-06-07 19:25:00,56.2,58.6,1738.54
221,2026-06-07 19:25:01,35.5,58.6,1738.5
222,2026-06-07 19:25:02,7.3,58.6,1738.49
223,2026-06-07 19:25:03,40.6,58.6,1739.94
224,2026-06-07 19:25:04,36.2,58.6,1739.83
225,2026-06-07 19:25:05,52.9,58.6,1739.99
226,2026-06-07 19:25:06,68.9,58.6,1740.36
227,2026-06-07 19:25:07,57.5,58.6,1740.5
228,2026-06-07 19:25:08,37.3,58.6,1740.45
229,2026-06-07 19:25:09,22.0,58.6,1740.65
230,2026-06-07 19:25:10,23.6,58.7,1741.12
231,2026-06-07 19:25:11,31.1,58.7,1742.8
232,2026-06-07 19:25:12,34.8,58.6,1739.32
233,2026-06-07 19:25:13,52.1,58.6,1739.48
234,2026-06-07 19:25:14,80.0,58.6,1739.86
235,2026-06-07 19:25:15,46.4,58.6,1739.77
236,2026-06-07 19:25:16,6.3,58.6,1739.75
237,2026-06-07 19:25:17,33.1,58.8,1744.38
238,2026-06-07 19:25:18,26.8,58.8,1744.35
239,2026-06-07 19:25:19,48.8,58.8,1744.53
